Oklahoma City Thunder,Philadelphia 76Ers,2015-11-13 08:00:00,0,Local
San Antonio Spurs,Philadelphia 76Ers,2015-11-14 08:30:00,0,Local
Philadelphia 76Ers,Dallas Mavericks,2015-11-16 07:00:00,0,Local
Philadelphia 76Ers,Indiana Pacers,2015-11-18 07:00:00,0,Local
Charlotte Hornets,Philadelphia 76Ers,2015-11-20 07:00:00,0,Local
Miami Heat,Philadelphia 76Ers,2015-11-21 07:30:00,0,Local
Minnesota Timberwolves,Philadelphia 76Ers,2015-11-23 08:00:00,0,Local
Houston Rockets,Philadelphia 76Ers,2015-11-27 08:00:00,0,Local
Memphis Grizzlies,Philadelphia 76Ers,2015-11-29 06:00:00,1,NBATV
New York Knicks,Philadelphia 76Ers,2015-12-02 07:30:00,0,Local
Philadelphia 76Ers,Denver Nuggets,2015-12-05 01:00:00,0,Local
Philadelphia 76Ers,San Antonio Spurs,2015-12-07 07:00:00,0,Local
Philadelphia 76Ers,Detroit Pistons,2015-12-11 07:00:00,0,Local
Chicago Bulls,Philadelphia 76Ers,2015-12-14 08:00:00,0,Local
Atlanta Hawks,Philadelphia 76Ers,2015-12-16 08:00:00,0,Local
Philadelphia 76Ers,New York Knicks,2015-12-18 07:00:00,0,Local
Cleveland Cavaliers,Philadelphia 76Ers,2015-12-20 03:30:00,0,Local
Philadelphia 76Ers,Memphis Grizzlies,2015-12-22 07:00:00,0,Local
Milwaukee Bucks,Philadelphia 76Ers,2015-12-23 08:00:00,0,Local
Phoenix Suns,Philadelphia 76Ers,2015-12-26 09:00:00,0,Local
Utah Jazz,Philadelphia 76Ers,2015-12-28 09:00:00,0,Local
Sacramento Kings,Philadelphia 76Ers,2015-12-30 10:00:00,0,Local
Los Angeles Clippers,Philadelphia 76Ers,2016-01-02 10:30:00,0,Local
Philadelphia 76Ers,Minnesota Timberwolves,2016-01-04 07:00:00,0,Local
Philadelphia 76Ers,Atlanta Hawks,2016-01-07 07:00:00,0,Local
Philadelphia 76Ers,Cleveland Cavaliers,2016-01-10 06:00:00,0,Local
Philadelphia 76Ers,Chicago Bulls,2016-01-14 07:00:00,0,Local
Philadelphia 76Ers,Portland Trail Blazers,2016-01-16 07:30:00,0,Local
New York Knicks,Philadelphia 76Ers,2016-01-18 01:00:00,0,Local
Orlando Magic,Philadelphia 76Ers,2016-01-20 07:00:00,0,Local
Philadelphia 76Ers,Phoenix Suns,2016-01-26 07:00:00,0,Local
Detroit Pistons,Philadelphia 76Ers,2016-01-27 07:30:00,0,Local
Philadelphia 76Ers,Golden State Warriors,2016-01-30 05:00:00,0,Local
Philadelphia 76Ers,Atlanta Hawks,2016-02-03 07:00:00,0,Local
Washington Wizards,Philadelphia 76Ers,2016-02-05 07:00:00,0,Local
Philadelphia 76Ers,Los Angeles Clippers,2016-02-08 07:00:00,0,Local
Philadelphia 76Ers,Sacramento Kings,2016-02-10 07:00:00,0,Local
New Orleans Pelicans,Philadelphia 76Ers,2016-02-19 08:00:00,0,Local
Dallas Mavericks,Philadelphia 76Ers,2016-02-21 07:00:00,0,Local
Philadelphia 76Ers,Orlando Magic,2016-02-23 07:00:00,0,Local
Detroit Pistons,Philadelphia 76Ers,2016-02-24 07:30:00,0,Local
Philadelphia 76Ers,Washington Wizards,2016-02-26 07:00:00,0,Local
Orlando Magic,Philadelphia 76Ers,2016-02-28 06:00:00,0,Local
Washington Wizards,Philadelphia 76Ers,2016-02-29 07:00:00,0,Local
Philadelphia 76Ers,Charlotte Hornets,2016-03-02 07:00:00,0,Local
Philadelphia 76Ers,Miami Heat,2016-03-04 07:00:00,0,Local
Miami Heat,Philadelphia 76Ers,2016-03-06 06:00:00,0,Local
Philadelphia 76Ers,Houston Rockets,2016-03-09 07:00:00,0,Local
Philadelphia 76Ers,Detroit Pistons,2016-03-12 07:00:00,0,Local
Philadelphia 76Ers,Washington Wizards,2016-03-17 07:00:00,0,Local
Philadelphia 76Ers,Oklahoma City Thunder,2016-03-18 07:00:00,0,Local
Indiana Pacers,Philadelphia 76Ers,2016-03-21 07:00:00,0,Local
Denver Nuggets,Philadelphia 76Ers,2016-03-23 09:00:00,0,Local
Portland Trail Blazers,Philadelphia 76Ers,2016-03-26 10:00:00,0,Local
